date,under 20,20-39,40-49,50-59,60-69,70,health_authority
2022-01-17,37,66,23,19,19,8,eastern_ha
2022-01-14,58,122,37,49,28,56,eastern_ha
2022-01-13,81,210,83,76,32,37,eastern_ha
2022-01-12,93,187,66,69,45,57,eastern_ha
2022-01-11,94,241,73,95,60,43,eastern_ha
2022-01-10,175,394,128,134,64,51,eastern_ha
2022-01-07,36,71,32,47,12,11,eastern_ha
2022-01-06,36,94,43,28,21,19,eastern_ha
2022-01-05,33,102,41,48,39,25,eastern_ha
2022-01-04,40,103,24,52,25,23,eastern_ha
2022-01-03,55,112,31,40,18,20,eastern_ha
2021-12-31,36,98,39,44,35,20,eastern_ha
2021-12-30,37,86,27,30,10,9,eastern_ha
2021-12-29,34,106,26,32,13,5,eastern_ha
2021-12-24,9,28,3,5,1,1,eastern_ha
2021-12-23,5,49,7,10,2,0,eastern_ha
2021-12-22,2,25,2,4,3,1,eastern_ha
2021-12-21,2,3,0,2,2,0,eastern_ha
2021-12-20,0,3,1,0,0,0,eastern_ha
2021-12-19,0,4,0,1,0,0,eastern_ha
2021-12-17,1,6,1,2,1,0,eastern_ha
2021-12-15,0,2,0,0,1,0,eastern_ha
2021-12-13,0,3,0,0,1,0,eastern_ha
2021-12-08,1,0,0,0,3,0,eastern_ha
2021-12-03,0,0,1,0,0,0,eastern_ha
2021-11-29,2,1,2,0,0,0,eastern_ha
2021-11-26,0,1,0,0,2,1,eastern_ha
2021-11-24,0,1,0,0,0,1,eastern_ha
2021-11-22,0,0,0,0,0,1,eastern_ha
2021-11-19,0,0,0,0,1,0,eastern_ha
2021-11-17,0,0,1,0,0,0,eastern_ha
2021-11-15,1,0,0,0,1,0,eastern_ha
2021-11-12,0,0,1,0,0,0,eastern_ha
2021-11-10,0,0,0,1,1,1,eastern_ha
2021-11-08,0,0,1,0,2,1,eastern_ha
2021-11-05,2,0,0,1,0,0,eastern_ha
2021-11-03,1,0,0,0,0,0,eastern_ha
2021-11-01,1,0,0,0,0,0,eastern_ha
2021-10-29,3,2,0,0,0,0,eastern_ha
2021-10-27,6,4,2,1,3,0,eastern_ha
2021-10-25,23,4,1,3,2,2,eastern_ha
2021-10-22,22,4,1,0,0,0,eastern_ha
2021-10-20,6,1,0,0,0,0,eastern_ha
2021-10-18,0,1,0,0,0,0,eastern_ha
2021-10-15,0,1,0,1,0,0,eastern_ha
2021-10-13,1,1,0,0,0,0,eastern_ha
2021-10-12,1,1,0,3,3,0,eastern_ha
2021-10-08,0,0,1,0,1,0,eastern_ha
2021-10-07,0,0,0,0,1,1,eastern_ha
2021-10-06,1,1,0,0,0,0,eastern_ha
2021-10-05,1,1,1,0,0,0,eastern_ha
2021-10-04,0,0,0,1,0,0,eastern_ha
2021-10-02,0,1,0,0,2,0,eastern_ha
2021-10-01,3,2,1,3,1,0,eastern_ha
2021-09-29,0,0,0,0,0,1,eastern_ha
2021-09-28,2,0,1,3,2,6,eastern_ha
2021-09-27,1,1,0,1,0,0,eastern_ha
2021-09-26,13,0,3,0,7,1,eastern_ha
2021-09-25,7,1,2,1,2,1,eastern_ha
2021-09-24,0,2,0,1,0,0,eastern_ha
2021-09-22,2,5,4,5,4,1,eastern_ha
2021-09-21,1,0,0,0,0,0,eastern_ha
2021-09-20,1,1,1,1,0,0,eastern_ha
2021-09-17,1,1,0,1,0,0,eastern_ha
2021-09-15,0,1,0,0,1,0,eastern_ha
2021-09-13,0,1,0,0,0,1,eastern_ha
2021-09-10,0,1,1,1,1,0,eastern_ha
2021-09-06,0,1,1,1,1,1,eastern_ha
2021-08-30,0,1,0,1,0,0,eastern_ha
2021-08-13,0,1,0,1,0,0,eastern_ha
2021-08-02,0,1,0,1,0,0,eastern_ha
2021-06-02,0,1,1,0,0,0,eastern_ha
2021-05-30,0,1,0,0,0,1,eastern_ha
2021-05-29,0,1,0,1,0,1,eastern_ha
2021-05-28,1,1,3,4,1,0,eastern_ha
2021-05-23,3,1,0,4,3,1,eastern_ha
2021-05-22,0,1,0,0,0,0,eastern_ha
2021-05-21,0,1,0,0,0,0,eastern_ha
2021-05-20,0,1,0,0,0,0,eastern_ha
2021-05-15,0,2,0,0,0,0,eastern_ha
2021-05-13,0,9,0,0,0,0,eastern_ha
2021-05-12,0,0,0,0,0,0,eastern_ha
2021-05-11,0,0,0,0,0,0,eastern_ha
2021-05-09,0,0,0,0,0,0,eastern_ha
2021-05-08,0,0,0,0,0,0,eastern_ha
2021-05-07,0,0,0,0,0,0,eastern_ha
2021-04-30,0,0,0,0,0,0,eastern_ha
2021-04-28,0,0,0,0,0,0,eastern_ha
2021-04-26,0,0,0,0,0,0,eastern_ha
2021-04-24,0,0,0,0,0,0,eastern_ha
2021-04-22,0,0,0,0,0,0,eastern_ha
2021-04-21,0,0,0,0,0,0,eastern_ha
